day,month,year,daily_spend_19_all,daily_spend_19_q1,daily_spend_19_q2,daily_spend_19_q3,daily_spend_19_q4
2,4,2021,.666,.98,.795,.662,.493
3,4,2021,.399,.64,.499,.4,.269
4,4,2021,-.25,-.134,-.216,-.256,-.311
5,4,2021,.44,.664,.552,.436,.306
6,4,2021,.425,.622,.517,.42,.309
7,4,2021,.401,.617,.497,.392,.278
8,4,2021,.414,.636,.504,.415,.283
9,4,2021,.527,.797,.646,.524,.375
10,4,2021,.336,.534,.435,.343,.215
11,4,2021,.0477,.155,.1,.054,-.0203
12,4,2021,.398,.575,.485,.406,.284
13,4,2021,.387,.559,.465,.392,.281
14,4,2021,.371,.547,.46,.365,.264
15,4,2021,.486,.677,.577,.479,.375
16,4,2021,.545,.791,.665,.542,.398
17,4,2021,.324,.494,.418,.332,.217
18,4,2021,.0389,.14,.0885,.0461,-.0234
19,4,2021,.371,.531,.457,.366,.272
20,4,2021,.403,.542,.48,.405,.311
21,4,2021,.355,.503,.438,.359,.253
22,4,2021,.385,.564,.48,.386,.268
23,4,2021,.493,.718,.603,.493,.356
24,4,2021,.288,.448,.374,.299,.186
25,4,2021,.0501,.141,.093,.0577,-.00688
26,4,2021,.391,.528,.457,.393,.309
27,4,2021,.386,.503,.456,.394,.301
28,4,2021,.397,.545,.467,.403,.301
29,4,2021,.442,.629,.528,.448,.325
30,4,2021,.666,.922,.782,.655,.526
1,5,2021,.564,.76,.644,.575,.462
2,5,2021,.143,.24,.18,.151,.0874
3,5,2021,.549,.735,.628,.539,.455
4,5,2021,.517,.671,.587,.518,.428
5,5,2021,.5,.658,.568,.505,.407
6,5,2021,.482,.661,.559,.486,.374
7,5,2021,.619,.854,.73,.615,.485
8,5,2021,.446,.623,.532,.462,.337
9,5,2021,.0611,.139,.101,.0769,.00694
10,5,2021,.433,.563,.504,.447,.342
11,5,2021,.454,.581,.527,.46,.368
12,5,2021,.434,.548,.499,.447,.35
13,5,2021,.453,.591,.534,.457,.359
14,5,2021,.579,.784,.683,.588,.451
15,5,2021,.378,.515,.454,.386,.295
16,5,2021,.0981,.154,.132,.117,.0521
17,5,2021,.511,.6,.563,.517,.455
18,5,2021,.46,.552,.524,.466,.392
19,5,2021,.447,.545,.511,.454,.374
20,5,2021,.493,.649,.571,.504,.394
21,5,2021,.581,.794,.685,.579,.458
22,5,2021,.333,.479,.411,.344,.243
23,5,2021,.0861,.15,.124,.1,.042
24,5,2021,.428,.545,.494,.432,.351
25,5,2021,.472,.577,.538,.477,.4
26,5,2021,.468,.588,.525,.475,.393
27,5,2021,.512,.667,.59,.521,.414
28,5,2021,.674,.891,.779,.684,.542
29,5,2021,.365,.521,.448,.376,.269
30,5,2021,.0567,.126,.0853,.0661,.0143
31,5,2021,.119,.194,.143,.118,.082
1,6,2021,.755,.864,.806,.758,.705
2,6,2021,.595,.74,.659,.599,.512
3,6,2021,.58,.785,.668,.577,.467
4,6,2021,.639,.881,.743,.634,.508
5,6,2021,.363,.522,.439,.375,.27
6,6,2021,.0767,.142,.115,.0894,.0319
7,6,2021,.447,.56,.51,.456,.37
8,6,2021,.465,.576,.534,.466,.392
9,6,2021,.453,.57,.518,.451,.381
10,6,2021,.512,.669,.589,.515,.418
11,6,2021,.583,.791,.695,.578,.458
12,6,2021,.321,.469,.399,.327,.234
13,6,2021,.0763,.142,.113,.0859,.0344
14,6,2021,.455,.563,.526,.454,.385
15,6,2021,.572,.666,.632,.579,.512
16,6,2021,.506,.617,.574,.511,.433
17,6,2021,.516,.649,.594,.53,.423
18,6,2021,.634,.836,.736,.636,.514
19,6,2021,.366,.504,.438,.376,.282
20,6,2021,.0602,.117,.0935,.0683,.023
21,6,2021,.462,.546,.538,.468,.392
22,6,2021,.496,.562,.556,.496,.446
23,6,2021,.496,.593,.559,.498,.435
24,6,2021,.494,.619,.564,.499,.412
25,6,2021,.61,.799,.712,.608,.497
26,6,2021,.344,.482,.415,.354,.26
27,6,2021,.0687,.119,.0998,.0809,.0325
28,6,2021,.467,.571,.528,.476,.396
29,6,2021,.5,.581,.552,.514,.439
30,6,2021,.571,.687,.63,.569,.509
1,7,2021,.854,1.02,.92,.856,.777
2,7,2021,.767,1.03,.881,.768,.627
3,7,2021,.396,.577,.468,.391,.309
4,7,2021,-.11,-.00896,-.0757,-.111,-.164
5,7,2021,.191,.282,.242,.204,.13
6,7,2021,.483,.588,.539,.493,.416
7,7,2021,.476,.561,.528,.473,.425
8,7,2021,.491,.628,.562,.488,.409
9,7,2021,.588,.781,.686,.595,.467
10,7,2021,.328,.459,.384,.339,.255
11,7,2021,.0522,.0932,.0827,.0661,.0155
12,7,2021,.452,.55,.511,.458,.387
13,7,2021,.453,.535,.507,.463,.392
14,7,2021,.448,.561,.509,.451,.378
15,7,2021,.58,.754,.676,.585,.472
16,7,2021,.638,.867,.738,.64,.506
17,7,2021,.329,.487,.4,.338,.239
18,7,2021,.0707,.133,.105,.081,.0312
19,7,2021,.451,.569,.515,.453,.379
20,7,2021,.476,.572,.543,.479,.411
21,7,2021,.447,.545,.505,.457,.38
22,7,2021,.471,.619,.546,.474,.381
23,7,2021,.582,.781,.687,.581,.461
24,7,2021,.31,.453,.379,.317,.229
25,7,2021,.0769,.124,.113,.0866,.0408
26,7,2021,.447,.54,.505,.453,.384
27,7,2021,.436,.511,.488,.451,.375
28,7,2021,.449,.547,.509,.449,.387
29,7,2021,.474,.626,.548,.476,.381
30,7,2021,.628,.878,.725,.63,.49
31,7,2021,.385,.55,.45,.386,.304
1,8,2021,.294,.334,.318,.308,.271
2,8,2021,.596,.73,.65,.602,.524
3,8,2021,.574,.708,.632,.569,.506
4,8,2021,.503,.624,.559,.507,.432
5,8,2021,.544,.695,.624,.547,.451
6,8,2021,.604,.808,.708,.598,.486
7,8,2021,.337,.481,.409,.345,.251
8,8,2021,.097,.159,.129,.111,.056
9,8,2021,.474,.582,.527,.485,.404
10,8,2021,.496,.586,.542,.502,.438
11,8,2021,.445,.536,.494,.456,.385
12,8,2021,.476,.603,.55,.485,.389
13,8,2021,.594,.818,.702,.589,.466
14,8,2021,.342,.497,.411,.348,.256
15,8,2021,.131,.182,.169,.147,.093
16,8,2021,.489,.588,.544,.494,.429
17,8,2021,.472,.552,.522,.474,.419
18,8,2021,.436,.537,.487,.442,.375
19,8,2021,.473,.597,.544,.479,.389
20,8,2021,.61,.784,.697,.613,.509
21,8,2021,.348,.479,.409,.358,.273
22,8,2021,.0796,.131,.113,.0946,.0407
23,8,2021,.438,.523,.485,.449,.38
24,8,2021,.433,.493,.49,.439,.382
25,8,2021,.439,.504,.482,.451,.39
26,8,2021,.46,.579,.536,.46,.38
27,8,2021,.565,.733,.655,.568,.462
28,8,2021,.355,.48,.414,.369,.281
29,8,2021,.0654,.104,.0874,.0788,.0402
30,8,2021,.44,.519,.488,.444,.39
31,8,2021,.529,.588,.558,.531,.492
1,9,2021,.739,.841,.778,.74,.698
2,9,2021,.578,.748,.665,.581,.477
3,9,2021,.726,.972,.831,.72,.6
4,9,2021,.38,.536,.447,.393,.293
5,9,2021,.122,.178,.152,.136,.087
6,9,2021,.136,.201,.162,.143,.101
7,9,2021,.487,.58,.532,.489,.436
8,9,2021,.475,.572,.524,.47,.418
9,9,2021,.485,.618,.566,.484,.399
10,9,2021,.602,.8,.699,.604,.486
11,9,2021,.324,.445,.384,.34,.25
12,9,2021,.0637,.11,.0991,.0739,.0297
13,9,2021,.427,.524,.475,.438,.366
14,9,2021,.428,.52,.484,.426,.368
15,9,2021,.548,.669,.611,.544,.478
16,9,2021,.512,.66,.578,.516,.426
17,9,2021,.598,.804,.696,.602,.477
18,9,2021,.349,.492,.407,.362,.27
19,9,2021,.0885,.136,.125,.105,.0497
20,9,2021,.463,.555,.512,.466,.408
21,9,2021,.457,.522,.502,.459,.411
22,9,2021,.417,.508,.466,.417,.361
23,9,2021,.468,.594,.536,.474,.388
24,9,2021,.589,.79,.678,.587,.481
25,9,2021,.375,.505,.442,.391,.296
26,9,2021,.0975,.138,.13,.11,.0661
27,9,2021,.455,.539,.507,.468,.393
28,9,2021,.473,.533,.514,.478,.431
29,9,2021,.457,.544,.507,.461,.401
30,9,2021,.656,.793,.711,.656,.591
1,10,2021,.986,1.23,1.08,.973,.88
2,10,2021,.496,.665,.558,.503,.413
3,10,2021,.175,.238,.205,.187,.14
4,10,2021,.536,.681,.596,.536,.458
5,10,2021,.548,.649,.591,.547,.493
6,10,2021,.463,.555,.51,.462,.413
7,10,2021,.51,.648,.57,.515,.434
8,10,2021,.651,.841,.752,.663,.53
9,10,2021,.386,.512,.447,.401,.314
10,10,2021,.131,.162,.161,.147,.104
11,10,2021,.447,.506,.483,.448,.414
12,10,2021,.492,.564,.538,.493,.45
13,10,2021,.501,.593,.551,.501,.443
14,10,2021,.525,.673,.607,.529,.432
15,10,2021,.784,1.01,.899,.778,.659
16,10,2021,.446,.61,.516,.453,.361
17,10,2021,.159,.232,.19,.172,.12
18,10,2021,.502,.576,.56,.52,.439
19,10,2021,.517,.592,.578,.517,.463
20,10,2021,.525,.613,.589,.521,.467
21,10,2021,.54,.654,.609,.546,.466
22,10,2021,.664,.859,.757,.666,.555
23,10,2021,.426,.556,.487,.432,.358
24,10,2021,.134,.198,.163,.147,.0965
25,10,2021,.508,.583,.575,.509,.452
26,10,2021,.53,.607,.583,.53,.477
27,10,2021,.508,.593,.558,.503,.46
28,10,2021,.582,.711,.644,.587,.505
29,10,2021,.702,.928,.803,.71,.569
30,10,2021,.429,.564,.498,.438,.35
31,10,2021,.123,.179,.146,.128,.0936
1,11,2021,.816,.92,.859,.818,.773
2,11,2021,.653,.755,.702,.65,.6
3,11,2021,.589,.721,.646,.587,.519
4,11,2021,.595,.771,.674,.586,.501
5,11,2021,.749,.967,.856,.742,.631
6,11,2021,.468,.604,.531,.478,.395
7,11,2021,.209,.261,.237,.222,.18
8,11,2021,.515,.59,.57,.521,.464
9,11,2021,.554,.615,.598,.556,.513
10,11,2021,.584,.699,.651,.59,.514
11,11,2021,.586,.679,.653,.595,.523
12,11,2021,.737,.928,.847,.738,.621
13,11,2021,.498,.645,.574,.504,.42
14,11,2021,.211,.275,.246,.222,.176
15,11,2021,.673,.776,.739,.678,.609
16,11,2021,.627,.71,.688,.636,.57
17,11,2021,.58,.68,.641,.591,.515
18,11,2021,.629,.747,.707,.627,.559
19,11,2021,.782,.97,.881,.784,.673
20,11,2021,.572,.698,.64,.585,.503
21,11,2021,.266,.314,.298,.283,.237
22,11,2021,.702,.773,.761,.71,.655
23,11,2021,.793,.873,.854,.798,.748
24,11,2021,.838,.981,.927,.834,.76
25,11,2021,-.239,-.19,-.235,-.253,-.255
26,11,2021,.895,1.12,1.06,.927,.726
27,11,2021,.608,.701,.666,.626,.555
28,11,2021,.36,.375,.375,.376,.354
29,11,2021,.899,.966,.966,.916,.846
30,11,2021,1,1.05,1.05,1,.983
1,12,2021,1.1,1.18,1.14,1.09,1.08
2,12,2021,.865,1.03,.948,.858,.784
3,12,2021,.94,1.18,1.06,.933,.812
4,12,2021,.666,.822,.751,.672,.581
5,12,2021,.368,.433,.404,.376,.338
6,12,2021,.702,.789,.759,.706,.652
7,12,2021,.627,.683,.667,.63,.596
8,12,2021,.553,.638,.593,.546,.518
9,12,2021,.707,.838,.774,.709,.638
10,12,2021,.911,1.12,1.01,.908,.803
11,12,2021,.654,.807,.732,.665,.571
12,12,2021,.348,.414,.392,.364,.307
13,12,2021,.72,.814,.796,.732,.653
14,12,2021,.765,.861,.834,.768,.706
15,12,2021,.867,1.02,.946,.866,.791
16,12,2021,.841,1,.927,.841,.752
17,12,2021,.947,1.18,1.06,.95,.825
18,12,2021,.715,.901,.811,.72,.617
19,12,2021,.394,.479,.439,.41,.347
20,12,2021,.888,.987,.968,.903,.824
21,12,2021,.903,.998,.961,.909,.855
22,12,2021,.932,1.07,1.01,.943,.855
23,12,2021,1.02,1.23,1.13,1.03,.903
24,12,2021,.434,.65,.51,.422,.337
25,12,2021,-.521,-.472,-.528,-.538,-.533
26,12,2021,-.0669,.00847,-.0218,-.0647,-.118
27,12,2021,.441,.499,.485,.438,.406
28,12,2021,.567,.615,.611,.561,.542
29,12,2021,.565,.622,.596,.562,.54
30,12,2021,.689,.819,.743,.693,.617
31,12,2021,.587,.712,.635,.585,.528
1,1,2022,.105,.159,.104,.106,.0918
2,1,2022,.102,.141,.117,.108,.0798
3,1,2022,.595,.697,.652,.589,.541
4,1,2022,.586,.709,.641,.589,.514
5,1,2022,.53,.668,.584,.521,.464
6,1,2022,.478,.584,.531,.477,.418
7,1,2022,.535,.712,.624,.529,.43
8,1,2022,.337,.432,.387,.351,.275
9,1,2022,.0696,.0877,.0939,.0819,.0466
10,1,2022,.474,.544,.531,.487,.415
11,1,2022,.468,.522,.504,.466,.432
12,1,2022,.446,.522,.505,.45,.389
13,1,2022,.498,.609,.566,.507,.417
14,1,2022,.63,.843,.718,.625,.516
15,1,2022,.428,.536,.475,.441,.367
16,1,2022,.0356,.0291,.0433,.0494,.0286
17,1,2022,.326,.289,.339,.35,.324
18,1,2022,.475,.502,.498,.49,.449
19,1,2022,.497,.581,.529,.491,.455
20,1,2022,.487,.59,.555,.485,.419
21,1,2022,.577,.727,.66,.571,.49
22,1,2022,.335,.421,.384,.344,.281
23,1,2022,.0884,.115,.106,.0999,.0699
24,1,2022,.416,.471,.464,.414,.376
25,1,2022,.471,.508,.51,.479,.432
26,1,2022,.459,.522,.508,.461,.412
27,1,2022,.505,.614,.573,.512,.431
28,1,2022,.647,.839,.744,.649,.534
29,1,2022,.309,.447,.401,.328,.205
30,1,2022,.0947,.135,.123,.109,.061
31,1,2022,.548,.621,.597,.548,.499
1,2,2022,.867,.954,.916,.858,.835
2,2,2022,.598,.72,.65,.594,.539
3,2,2022,.502,.665,.559,.489,.427
4,2,2022,.585,.789,.681,.584,.464
5,2,2022,.459,.585,.519,.465,.391
6,2,2022,.16,.196,.182,.172,.136
7,2,2022,.511,.589,.576,.512,.452
8,2,2022,.529,.601,.574,.543,.475
9,2,2022,.522,.614,.588,.533,.452
10,2,2022,.585,.72,.655,.604,.492
11,2,2022,.714,.908,.815,.717,.598
12,2,2022,.519,.65,.59,.536,.436
13,2,2022,.172,.236,.213,.186,.127
14,2,2022,.54,.636,.608,.547,.468
15,2,2022,.602,.669,.659,.608,.553
16,2,2022,.536,.663,.604,.545,.454
17,2,2022,.539,.679,.618,.537,.452
18,2,2022,.698,.908,.81,.694,.576
19,2,2022,.508,.657,.596,.517,.415
20,2,2022,.242,.29,.283,.259,.198
21,2,2022,.544,.595,.591,.555,.504
22,2,2022,.579,.694,.63,.577,.518
23,2,2022,.572,.688,.636,.564,.503
24,2,2022,.616,.874,.735,.593,.479
25,2,2022,.775,1.1,.911,.758,.599
26,2,2022,.552,.762,.646,.557,.436
27,2,2022,.262,.358,.306,.271,.206
28,2,2022,.815,.974,.895,.811,.731
1,3,2022,1.06,1.24,1.12,1.05,.991
2,3,2022,.794,1,.873,.785,.688
3,3,2022,.77,1.04,.88,.756,.633
4,3,2022,.854,1.17,.987,.844,.686
5,3,2022,.609,.821,.697,.615,.498
6,3,2022,.275,.371,.325,.277,.221
7,3,2022,.64,.784,.719,.637,.558
8,3,2022,.657,.795,.73,.654,.577
9,3,2022,.634,.792,.712,.627,.543
10,3,2022,.707,.879,.8,.696,.613
11,3,2022,.811,1.06,.935,.799,.675
12,3,2022,.507,.634,.589,.515,.425
13,3,2022,.261,.318,.298,.276,.222
14,3,2022,.642,.761,.721,.645,.563
15,3,2022,.765,.872,.832,.772,.697
16,3,2022,.695,.858,.777,.694,.605
17,3,2022,.675,.864,.77,.672,.568
18,3,2022,.813,1.04,.925,.811,.683
19,3,2022,.584,.745,.676,.594,.485
20,3,2022,.31,.387,.356,.324,.259
21,3,2022,.659,.765,.726,.664,.592
22,3,2022,.644,.735,.702,.652,.584
23,3,2022,.627,.744,.684,.636,.556
24,3,2022,.658,.811,.748,.657,.563
25,3,2022,.846,1.08,.959,.848,.714
26,3,2022,.604,.752,.694,.617,.511
27,3,2022,.29,.349,.327,.306,.251
28,3,2022,.442,.566,.536,.447,.347
29,3,2022,.439,.566,.516,.443,.354
30,3,2022,.436,.597,.518,.438,.333
31,3,2022,.548,.739,.638,.549,.436
1,4,2022,.973,1.28,1.11,.976,.809
2,4,2022,.517,.74,.626,.523,.392
3,4,2022,.223,.343,.286,.232,.151
4,4,2022,.742,.899,.83,.743,.652
5,4,2022,.764,.878,.828,.765,.7
6,4,2022,.686,.809,.752,.68,.622
7,4,2022,.705,.87,.784,.709,.612
8,4,2022,.872,1.1,.987,.877,.744
9,4,2022,.623,.761,.705,.628,.545
10,4,2022,.344,.398,.376,.357,.313
11,4,2022,.714,.787,.784,.719,.658
12,4,2022,.717,.818,.783,.715,.658
13,4,2022,.711,.828,.776,.704,.649
14,4,2022,.788,.965,.892,.784,.687
15,4,2022,1.05,1.26,1.17,1.07,.929
16,4,2022,.67,.817,.752,.684,.584
17,4,2022,-.0237,.0353,-.0103,-.0289,-.0445
18,4,2022,.755,.814,.809,.762,.712
19,4,2022,.742,.807,.789,.747,.7
20,4,2022,.704,.814,.775,.712,.632
21,4,2022,.721,.856,.804,.72,.641
22,4,2022,.846,1.06,.956,.847,.723
23,4,2022,.59,.747,.674,.6,.5
24,4,2022,.284,.356,.327,.294,.242
25,4,2022,.685,.776,.754,.695,.619
26,4,2022,.704,.784,.776,.718,.635
27,4,2022,.691,.81,.773,.707,.604
28,4,2022,.782,.946,.879,.786,.683
29,4,2022,.956,1.25,1.1,.956,.789
30,4,2022,.724,.903,.808,.731,.631
1,5,2022,.605,.651,.635,.624,.586
2,5,2022,.925,1.06,.976,.936,.862
3,5,2022,.892,1.04,.97,.887,.819
4,5,2022,.795,.953,.877,.799,.707
5,5,2022,.857,1.03,.967,.857,.751
6,5,2022,.953,1.18,1.08,.967,.816
7,5,2022,.72,.902,.826,.73,.614
8,5,2022,.321,.401,.372,.337,.27
9,5,2022,.704,.806,.782,.709,.634
10,5,2022,.752,.854,.816,.767,.681
11,5,2022,.722,.834,.804,.743,.636
12,5,2022,.755,.922,.843,.758,.657
13,5,2022,.918,1.16,1.04,.917,.78
14,5,2022,.624,.78,.717,.638,.528
15,5,2022,.378,.433,.419,.396,.342
16,5,2022,.753,.834,.837,.77,.684
17,5,2022,.735,.811,.796,.744,.683
18,5,2022,.733,.819,.797,.75,.666
19,5,2022,.762,.909,.854,.766,.67
20,5,2022,.911,1.12,1.03,.922,.781
21,5,2022,.596,.723,.676,.618,.513
22,5,2022,.341,.408,.385,.357,.299
23,5,2022,.709,.773,.771,.721,.659
24,5,2022,.73,.799,.786,.746,.676
25,5,2022,.743,.832,.812,.763,.674
26,5,2022,.798,.918,.882,.815,.714
27,5,2022,.983,1.19,1.1,.991,.858
28,5,2022,.654,.802,.735,.675,.567
29,5,2022,.289,.349,.325,.309,.249
30,5,2022,.308,.346,.336,.324,.279
31,5,2022,.865,.924,.915,.883,.821
1,6,2022,1.2,1.31,1.25,1.21,1.16
2,6,2022,.964,1.14,1.05,.973,.871
3,6,2022,1.05,1.33,1.19,1.04,.908
4,6,2022,.648,.818,.729,.665,.55
5,6,2022,.368,.447,.412,.388,.319
