year,month,day,revenue_food_accommodation,revenue_retail,merchants_food_accommodation,merchants_retail
2020,1,10,-.022407623,-.024172653,-.0020768999,-.0025942069
2020,1,11,-.020193353,-.021326268,-.0034147615,-.004370545
2020,1,12,-.017976409,-.016848704,-.0044453572,-.0034893826
2020,1,13,-.017009394,-.020523906,-.0045499834,-.0052657216
2020,1,14,-.011741558,-.016561087,-.0058520804,-.0070946449
2020,1,15,-.0089378562,-.014599378,-.0073917224,-.0091300225
2020,1,16,-.004522468,-.016848322,-.0079556331,-.010522781
2020,1,17,.0030854847,-.011692844,-.0050433083,-.0077723316
2020,1,18,.004330839,-.010101717,-.00095388584,-.0043501942
2020,1,19,.015903078,-.013056071,.00062319997,-.0036126126
2020,1,20,.011090779,-.0075881528,.0031200084,-.001345868
2020,1,21,.012249747,-.011213499,.0026625355,-.0020430682
2020,1,22,.007845006,-.012680026,.0020166831,-.0026408092
2020,1,23,.0084024156,-.0061050537,.0022708753,-.00087634457
2020,1,24,.012049306,-.00033980765,.0018812767,.00036512717
2020,1,25,.024322812,.019724596,.0029729169,.0038519062
2020,1,26,.0025210842,.014549631,.0011395284,.00050042605
2020,1,27,-.0075561721,.0084482916,-.0048217913,-.0038009018
2020,1,28,-.0080279857,.0071588075,-.0046759043,-.0027163366
2020,1,29,-.0061395462,.0042565758,-.0041241013,-.0017596218
2020,1,30,.00056653982,.019429805,.0017426389,.0052051856
2020,1,31,.0049337838,.028621215,.0046818918,.0084579438
2020,2,1,-.0054333904,.02402702,.0036529971,.0097249867
2020,2,2,-.017309105,.014649933,.0029478702,.0096384324
2020,2,3,.00088525331,.018504906,.004724652,.012006561
2020,2,4,.0012087197,.019270036,.004210684,.011018066
2020,2,5,-.0053093927,.012518845,.0025544893,.006688037
2020,2,6,-.015543307,-.0062318076,-.00450947,-.0049547972
2020,2,7,-.0047474615,-.0030848889,-.0081096301,-.0091718482
2020,2,8,.034411825,.012823714,-.0086122965,-.010297158
2020,2,9,.12249797,.051834632,-.0070590018,-.009087991
2020,2,10,.13400492,.13542521,-.008868278,-.013211051
2020,2,11,.13555244,.13713577,-.0094686821,-.013687634
2020,2,12,.14225399,.15411378,-.0091849286,-.0094602937
2020,2,13,.13387585,.13772243,-.021005627,-.019955674
2020,2,14,.10247387,.12864909,-.02213634,-.0213487
2020,2,15,.075803332,.11706999,-.021667048,-.020826396
2020,2,16,.012472523,.071051829,-.02239028,-.02117683
2020,2,17,-.032050099,-.0044306801,-.022485532,-.018844808
2020,2,18,-.010249835,.05180829,-.024579471,-.022585524
2020,2,19,-.011188981,.042818695,-.023796534,-.023151411
2020,2,20,.00091267785,.067052983,-.0097586205,-.0054448475
2020,2,21,.0076777665,.060213022,-.0090214964,-.004273932
2020,2,22,-.00038592305,.050869968,-.0094641941,-.0058296719
2020,2,23,-.0067784158,.050138161,-.0093290228,-.0063913129
2020,2,24,-.017529104,-.0267206,-.0080777975,-.0059712087
2020,2,25,-.023154719,-.019361734,-.013694131,-.0089300815
2020,2,26,-.022913968,-.0054315408,-.021488834,-.017138559
2020,2,27,-.030071462,-.019078029,-.02676367,-.024825959
2020,2,28,-.031358127,-.015463291,-.030301102,-.028113617
2020,2,29,-.028263358,.03250986,-.033620719,-.028384313
2020,3,1,-.038515233,.029017206,-.037122078,-.030688707
2020,3,2,-.038309596,.023556029,-.039702281,-.031917099
2020,3,3,-.037902281,.026322728,-.037286568,-.028952988
2020,3,4,-.045431104,.005095989,-.033167638,-.025337145
2020,3,5,-.053401753,-.014118876,-.033911731,-.026667388
2020,3,6,-.064607903,-.01487154,-.034360994,-.027115824
2020,3,7,-.066425435,-.018299541,-.034384936,-.02705694
2020,3,8,-.064020999,-.016000725,-.034577027,-.026834212
2020,3,9,-.069108717,-.017298196,-.034825142,-.028049009
2020,3,10,-.076626152,-.011214604,-.034823328,-.029442977
2020,3,11,-.084342055,-.014818417,-.036095932,-.031438842
2020,3,12,-.099581532,-.014591252,-.038159363,-.035242915
2020,3,13,-.13307902,-.0049983691,-.039517958,-.038447585
2020,3,14,-.18577251,-.017811393,-.042259451,-.041992534
2020,3,15,-.23448512,-.026024278,-.046029441,-.044918258
2020,3,16,-.26967463,-.0060062073,-.054612011,-.051797759
2020,3,17,-.32358822,-.013271656,-.075741269,-.065775856
2020,3,18,-.37843102,-.0156781,-.10493039,-.084475674
2020,3,19,-.43391982,-.026927859,-.13872007,-.10511206
2020,3,20,-.5078426,-.053347122,-.17541382,-.13031437
2020,3,21,-.58746147,-.1006802,-.21497393,-.15856481
2020,3,22,-.64570934,-.12557136,-.25463858,-.17803895
2020,3,23,-.67487943,-.16788884,-.2893855,-.20421092
2020,3,24,-.6909914,-.20997117,-.32058954,-.23648801
2020,3,25,-.70280683,-.25313622,-.34540823,-.26748008
2020,3,26,-.70979297,-.28841949,-.35867956,-.28859362
2020,3,27,-.71502435,-.33518392,-.37127149,-.30463111
2020,3,28,-.71818465,-.37471905,-.38225073,-.32419467
2020,3,29,-.72145027,-.39163807,-.39095902,-.33286208
2020,3,30,-.7239365,-.41157299,-.40005133,-.34288538
2020,3,31,-.7226069,-.40846333,-.40345165,-.34257677
2020,4,1,-.71997017,-.40385929,-.40465468,-.33931229
2020,4,2,-.72185111,-.40359351,-.41332594,-.34427583
2020,4,3,-.71994632,-.40144739,-.42020959,-.35121122
2020,4,4,-.71940792,-.39591649,-.42509285,-.35371345
2020,4,5,-.71930128,-.39080068,-.42990318,-.35520971
2020,4,6,-.71713364,-.38347754,-.43223876,-.35594893
2020,4,7,-.71591616,-.38470498,-.43430218,-.35728911
2020,4,8,-.71280825,-.38181823,-.44015816,-.36375743
2020,4,9,-.70778489,-.37679315,-.44553027,-.37010995
2020,4,10,-.70250446,-.36659566,-.44707048,-.37302876
2020,4,11,-.6990422,-.35983375,-.44904897,-.37329978
2020,4,12,-.70817101,-.37594542,-.46774304,-.38225242
2020,4,13,-.70738316,-.3755452,-.47043788,-.38428095
2020,4,14,-.70250237,-.36756814,-.47058529,-.3827481
2020,4,15,-.69600725,-.34714371,-.4651069,-.37293521
2020,4,16,-.69199646,-.33551425,-.45908338,-.36288369
2020,4,17,-.68753254,-.32699797,-.45674434,-.35571867
2020,4,18,-.68172783,-.31777054,-.45337898,-.35077986
2020,4,19,-.66432899,-.30498624,-.43237814,-.3366366
2020,4,20,-.65339065,-.29439366,-.42659834,-.32601437
2020,4,21,-.63802749,-.25519273,-.40756556,-.30438006
2020,4,22,-.63798654,-.26330718,-.40359202,-.30148843
2020,4,23,-.63764137,-.26701355,-.40174443,-.29911581
2020,4,24,-.63492775,-.26370448,-.39898658,-.29483941
2020,4,25,-.62886292,-.25322863,-.39640385,-.29185385
2020,4,26,-.62639815,-.23921631,-.39542904,-.29382148
2020,4,27,-.62961382,-.22531559,-.39489579,-.29260841
2020,4,28,-.64069635,-.24593672,-.4085331,-.30486792
2020,4,29,-.63839871,-.23249815,-.40679544,-.29839733
2020,4,30,-.63438678,-.2198661,-.40360251,-.29208526
2020,5,1,-.62922561,-.19832468,-.39697689,-.28330171
2020,5,2,-.62166548,-.17898306,-.38993797,-.27301481
2020,5,3,-.61505497,-.17149715,-.38300738,-.26562315
2020,5,4,-.60928667,-.16151313,-.37643704,-.25623974
2020,5,5,-.59979969,-.14194657,-.36993611,-.24723236
2020,5,6,-.59789741,-.12551998,-.36431268,-.23988058
2020,5,7,-.5933429,-.10582183,-.35849214,-.23211589
2020,5,8,-.58866304,-.095467776,-.35569564,-.22768535
2020,5,9,-.58221972,-.079864539,-.35302514,-.2216136
2020,5,10,-.56007522,-.094415493,-.35204169,-.22222824
2020,5,11,-.56341279,-.11046685,-.35090265,-.22282609
2020,5,12,-.58548409,-.11719328,-.34853765,-.21930908
2020,5,13,-.58160335,-.11561944,-.34556803,-.21656205
2020,5,14,-.57861,-.11652798,-.34181023,-.21198978
2020,5,15,-.57131737,-.11306738,-.33785301,-.20762257
2020,5,16,-.56536287,-.10939566,-.33381104,-.20529625
2020,5,17,-.57600629,-.086035691,-.32881111,-.2016024
2020,5,18,-.56823659,-.054416824,-.32489514,-.19441931
2020,5,19,-.54429913,-.04433921,-.32143164,-.1888582
2020,5,20,-.53871864,-.037261203,-.31681824,-.18254052
2020,5,21,-.52890372,-.022550847,-.31132397,-.17615525
2020,5,22,-.5189091,-.0044081984,-.30560786,-.1702756
2020,5,23,-.51481777,-.0012326472,-.3017377,-.16902308
2020,5,24,-.50974679,-.0073784236,-.29846594,-.16874437
2020,5,25,-.50997216,-.033176608,-.29620475,-.16857755
2020,5,26,-.51067811,-.029603487,-.29918969,-.16942409
2020,5,27,-.50742495,-.037636299,-.29860574,-.17321706
2020,5,28,-.50680286,-.048525013,-.29808962,-.17607622
2020,5,29,-.50275505,-.062656254,-.29996404,-.18018208
2020,5,30,-.50193089,-.0773701,-.30969825,-.18370436
2020,5,31,-.50255352,-.086228356,-.31863078,-.18686759
2020,6,1,-.49709448,-.078399874,-.32473215,-.19645652
2020,6,2,-.4992924,-.077783503,-.33759189,-.20149519
2020,6,3,-.50667077,-.088859275,-.35313755,-.20830724
2020,6,4,-.51739091,-.097958446,-.36819637,-.21337624
2020,6,5,-.53128421,-.10979738,-.38154387,-.21753962
2020,6,6,-.53499651,-.10847719,-.3846705,-.21639895
2020,6,7,-.53257322,-.0982989,-.38514557,-.21366173
2020,6,8,-.53433812,-.097916983,-.38656682,-.21272175
2020,6,9,-.5319522,-.092616849,-.38496128,-.20951903
2020,6,10,-.5301494,-.091579944,-.38565481,-.2105231
2020,6,11,-.52794594,-.092293344,-.38795546,-.21150035
2020,6,12,-.52677697,-.10131815,-.39159641,-.21871313
2020,6,13,-.52324951,-.10279009,-.39197734,-.22109979
2020,6,14,-.52126008,-.10223525,-.38927329,-.21956721
2020,6,15,-.52005184,-.10211205,-.38706574,-.21546406
2020,6,16,-.52506953,-.098027639,-.3830086,-.21072137
2020,6,17,-.51880795,-.082839973,-.3737967,-.19970496
2020,6,18,-.51408875,-.071083486,-.36652929,-.19393851
2020,6,19,-.50709856,-.049012918,-.35895509,-.18270762
2020,6,20,-.50378335,-.028630098,-.35453004,-.17597154
2020,6,21,-.49418309,-.019749887,-.35390535,-.17646356
2020,6,22,-.49316284,-.01388803,-.35353425,-.17566396
2020,6,23,-.48450997,-.015983928,-.35354906,-.17727952
2020,6,24,-.48482481,-.021590011,-.35479736,-.17883824
2020,6,25,-.48503876,-.026663244,-.35382798,-.17793153
2020,6,26,-.48604131,-.039788969,-.35344675,-.17769919
2020,6,27,-.48779741,-.055849638,-.35403425,-.17694892
2020,6,28,-.49668321,-.067831449,-.35378382,-.17505515
2020,6,29,-.49661362,-.06960661,-.35383719,-.17471549
2020,6,30,-.49520907,-.06378375,-.3544392,-.17517553
2020,7,1,-.4955875,-.070740059,-.35593441,-.17812856
2020,7,2,-.48806274,-.062281553,-.35604748,-.18013391
2020,7,3,-.49905193,-.093159527,-.35819694,-.20060399
2020,7,4,-.50946248,-.054098487,-.35009056,-.15401451
2020,7,5,-.48370907,-.045611043,-.35613659,-.16739705
2020,7,6,-.47911754,-.051141877,-.35461348,-.17765588
2020,7,7,-.47889403,-.057268877,-.35471711,-.17916843
2020,7,8,-.48199797,-.062484264,-.3560181,-.18073253
2020,7,9,-.49131244,-.078482099,-.3579255,-.1815179
2020,7,10,-.49444675,-.08619877,-.35997272,-.18415537
2020,7,11,-.49475688,-.090445586,-.36098331,-.18615665
2020,7,12,-.49311683,-.08367563,-.36127758,-.18592837
2020,7,13,-.50209212,-.097382128,-.36293361,-.18976659
2020,7,14,-.50653511,-.1010083,-.36385766,-.18956894
2020,7,15,-.50698268,-.10097775,-.36362833,-.18985502
2020,7,16,-.50743878,-.10096947,-.36384436,-.18968982
2020,7,17,-.50747108,-.095388882,-.36377245,-.1886986
2020,7,18,-.50797546,-.094224826,-.36394736,-.18930519
2020,7,19,-.51022679,-.094742313,-.36443114,-.1890521
2020,7,20,-.51029354,-.093741722,-.36486283,-.18897142
2020,7,21,-.50967556,-.099587485,-.36498186,-.18952455
2020,7,22,-.50917727,-.097804539,-.36532947,-.18879065
2020,7,23,-.50088644,-.08218091,-.36485976,-.18836495
2020,7,24,-.49835622,-.0789214,-.36471191,-.1884997
2020,7,25,-.49770826,-.084792599,-.36505717,-.18877393
2020,7,26,-.49595895,-.08472243,-.36527619,-.1888544
2020,7,27,-.49576867,-.08729472,-.36567083,-.18934307
2020,7,28,-.49480101,-.087163255,-.36576465,-.18944097
2020,7,29,-.49435899,-.088887505,-.36566913,-.18888707
2020,7,30,-.50028336,-.10419396,-.36584899,-.18876599
2020,7,31,-.49806195,-.11079244,-.36597228,-.18938151
2020,8,1,-.49626291,-.11917921,-.36575401,-.18937545
2020,8,2,-.50466299,-.12981582,-.37202919,-.1913154
2020,8,3,-.5109393,-.14017011,-.38056833,-.19483159
2020,8,4,-.51947236,-.15474282,-.39138362,-.20129874
2020,8,5,-.52973163,-.17197719,-.40489054,-.21169865
2020,8,6,-.53946614,-.18228121,-.41555211,-.21671435
2020,8,7,-.55339926,-.18964954,-.42564046,-.22049516
2020,8,8,-.5618552,-.18119261,-.42969418,-.21501443
2020,8,9,-.561544,-.17570233,-.43130612,-.21326935
2020,8,10,-.56119806,-.17896204,-.43137398,-.21405971
2020,8,11,-.55918121,-.17966899,-.43027225,-.21225323
2020,8,12,-.55713445,-.17366484,-.42672041,-.2064216
2020,8,13,-.55644411,-.17485462,-.42619967,-.20579156
2020,8,14,-.55390251,-.17821327,-.42595461,-.20530459
2020,8,15,-.5565747,-.18429556,-.43137667,-.21374632
2020,8,16,-.55683464,-.1843425,-.43176028,-.21497217
2020,8,17,-.5576095,-.18625967,-.43144155,-.21462828
2020,8,18,-.55390197,-.18464014,-.42873442,-.21332411
2020,8,19,-.55189902,-.18502335,-.42813939,-.21310318
2020,8,20,-.5507943,-.18347527,-.42753085,-.21233654
2020,8,21,-.54942214,-.18259616,-.42713693,-.21202432
2020,8,22,-.54715788,-.17826474,-.42666659,-.21097368
2020,8,23,-.54595804,-.17666243,-.42613724,-.20961359
2020,8,24,-.54581541,-.17091954,-.42580837,-.20966007
2020,8,25,-.54883635,-.16963156,-.42787674,-.21127604
2020,8,26,-.54670912,-.16662109,-.42814752,-.2114429
2020,8,27,-.5462293,-.1664439,-.42866439,-.21296179
2020,8,28,-.54513264,-.16708577,-.42817354,-.2126756
2020,8,29,-.54470497,-.16101481,-.42813367,-.21202737
2020,8,30,-.5454126,-.17222652,-.4276312,-.21221021
2020,8,31,-.54637665,-.18017095,-.42685458,-.20724179
2020,9,1,-.54733503,-.18019724,-.42553887,-.20557483
2020,9,2,-.54661757,-.17810136,-.423796,-.20340061
2020,9,3,-.54096186,-.17146276,-.42133629,-.1992619
2020,9,4,-.52432346,-.15181065,-.41379872,-.18920207
2020,9,5,-.51098162,-.15008575,-.41236618,-.19113828
2020,9,6,-.49662775,-.12119821,-.41242325,-.18999542
2020,9,7,-.52495635,-.16131315,-.42326635,-.20497213
2020,9,8,-.48716319,-.087285191,-.41566578,-.19704835
2020,9,9,-.48837769,-.086520858,-.41602641,-.19740799
2020,9,10,-.49816707,-.084376216,-.41882789,-.20031752
2020,9,11,-.51547754,-.098881073,-.42356807,-.20686594
2020,9,12,-.52676821,-.10232197,-.42460474,-.20498247
2020,9,13,-.53934371,-.11747,-.42472768,-.20626549
2020,9,14,-.54498106,-.1283405,-.42522153,-.20722459
2020,9,15,-.54560477,-.12940302,-.42328092,-.20625524
2020,9,16,-.5439257,-.13138521,-.42290115,-.20750789
2020,9,17,-.54141003,-.12857462,-.42273599,-.20856509
2020,9,18,-.54079133,-.12521222,-.42510289,-.21145885
2020,9,19,-.53654891,-.11593296,-.42439568,-.21046051
2020,9,20,-.5351823,-.11215875,-.42390233,-.2098989
2020,9,21,-.53649837,-.11280159,-.4236137,-.20981576
2020,9,22,-.53778404,-.11450502,-.42395872,-.21038696
2020,9,23,-.53774166,-.11567826,-.42331731,-.20894708
2020,9,24,-.53685308,-.11494113,-.42283502,-.20799413
2020,9,25,-.53691185,-.11728889,-.422479,-.20768231
2020,9,26,-.53671211,-.12378942,-.42207757,-.20768505
2020,9,27,-.53610307,-.125111,-.42145678,-.20714185
2020,9,28,-.5353179,-.12614375,-.42109331,-.2082072
2020,9,29,-.53549713,-.12778893,-.42068425,-.2082579
2020,9,30,-.53581911,-.1269961,-.42016873,-.20812786
2020,10,1,-.53489405,-.13359183,-.41953507,-.20753205
2020,10,2,-.53239036,-.13307679,-.41881159,-.20715776
2020,10,3,-.52843827,-.13205257,-.41450155,-.20394644
2020,10,4,-.52733022,-.1238066,-.41235521,-.19773954
2020,10,5,-.52637953,-.12394645,-.41187468,-.19640273
2020,10,6,-.52500504,-.12713064,-.41122818,-.19665933
2020,10,7,-.52457803,-.12792096,-.41112375,-.19729798
2020,10,8,-.52580768,-.1286145,-.41113037,-.19764094
2020,10,9,-.52470595,-.13223822,-.41055933,-.19715579
2020,10,10,-.52815223,-.14310259,-.4143914,-.20098382
2020,10,11,-.52751577,-.15254119,-.41582271,-.20650077
2020,10,12,-.53171521,-.15186711,-.41465315,-.206549
2020,10,13,-.53146356,-.15175825,-.41561744,-.20639475
2020,10,14,-.53098232,-.15259036,-.41597944,-.20658879
2020,10,15,-.52998978,-.14618106,-.41590017,-.20654701
2020,10,16,-.53259349,-.14486277,-.41603503,-.207256
2020,10,17,-.53131258,-.13850906,-.41429865,-.20516783
2020,10,18,-.51117468,-.11861559,-.39893982,-.19557516
2020,10,19,-.50653923,-.12394895,-.39653206,-.19699812
2020,10,20,-.50698161,-.12467426,-.40084687,-.2011153
2020,10,21,-.50824296,-.12142061,-.39939305,-.1995068
2020,10,22,-.50986081,-.12633024,-.39906487,-.19798444
2020,10,23,-.51222312,-.12671396,-.39955243,-.19719438
2020,10,24,-.5167771,-.12712339,-.40166149,-.19835326
2020,10,25,-.539469,-.14320119,-.41734779,-.20701317
2020,10,26,-.54400414,-.14517157,-.4203853,-.20740552
2020,10,27,-.53839767,-.13866837,-.41478837,-.20229107
2020,10,28,-.53981256,-.14112653,-.41591665,-.20389348
2020,10,29,-.54134625,-.14145333,-.4176392,-.20769221
2020,10,30,-.54262435,-.13472927,-.41770062,-.2076962
2020,10,31,-.55046481,-.13955672,-.4174692,-.20566118
2020,11,1,-.55642289,-.15086918,-.42083341,-.21090125
2020,11,2,-.55898905,-.15776764,-.42423514,-.21275853
2020,11,3,-.5636453,-.16825022,-.43123171,-.21806133
2020,11,4,-.57037032,-.18414231,-.43755651,-.22217268
2020,11,5,-.57884884,-.19695196,-.44267285,-.22309804
2020,11,6,-.58871257,-.2177884,-.44762495,-.22480968
2020,11,7,-.59003121,-.22550075,-.45322523,-.22838713
2020,11,8,-.59279037,-.22575995,-.45477569,-.22398876
2020,11,9,-.5971036,-.23093185,-.45628995,-.22552812
2020,11,10,-.60097206,-.23315139,-.45619825,-.22485164
2020,11,11,-.60064518,-.22304425,-.45537364,-.2203692
2020,11,12,-.60092944,-.22661754,-.45617461,-.22294918
2020,11,13,-.60585731,-.22801621,-.45714357,-.22294714
2020,11,14,-.61044401,-.22963469,-.45658755,-.22151893
2020,11,15,-.60962337,-.22523761,-.45360082,-.21735792
2020,11,16,-.60656321,-.22178581,-.45105234,-.21422087
2020,11,17,-.6054408,-.22244914,-.45122108,-.21319292
2020,11,18,-.60692269,-.21277276,-.45174512,-.21040955
2020,11,19,-.61022323,-.21693672,-.45321897,-.21194346
2020,11,20,-.61397582,-.21623392,-.45460892,-.21251468
2020,11,21,-.6201055,-.2178795,-.45719597,-.21270469
2020,11,22,-.62746119,-.21970865,-.4620986,-.21452171
2020,11,23,-.6285696,-.21666417,-.46572587,-.21532601
2020,11,24,-.6220246,-.20512241,-.4667311,-.21562828
2020,11,25,-.62989467,-.24294576,-.4662461,-.21736383
2020,11,26,-.63308042,-.25501511,-.46718097,-.22117358
2020,11,27,-.63724005,-.27513662,-.46658009,-.22015858
2020,11,28,-.63707101,-.23240671,-.46865812,-.22080715
2020,11,29,-.64104295,-.2289506,-.47090006,-.22093642
2020,11,30,-.6324262,-.22400445,-.46748257,-.21732531
2020,12,1,-.63395929,-.23128575,-.4679535,-.21818292
2020,12,2,-.63343132,-.22111684,-.46992379,-.21833785
2020,12,3,-.63375396,-.21106136,-.47169876,-.21792573
2020,12,4,-.63676333,-.21179189,-.47230038,-.21838884
2020,12,5,-.62989062,-.21303889,-.46840769,-.21234529
2020,12,6,-.62811309,-.21364711,-.46639699,-.21113022
2020,12,7,-.63952452,-.21838903,-.47027853,-.21858458
2020,12,8,-.65110207,-.22957733,-.47268394,-.22055122
2020,12,9,-.64998817,-.2209539,-.47228187,-.21947548
2020,12,10,-.649683,-.21447222,-.47220004,-.2181294
2020,12,11,-.65240788,-.21298167,-.47238189,-.21842875
2020,12,12,-.6558702,-.20366253,-.47232312,-.21865958
2020,12,13,-.65977186,-.20778053,-.47297558,-.2180461
2020,12,14,-.66165203,-.24422041,-.4734031,-.21839975
2020,12,15,-.66094381,-.24008061,-.47287562,-.21778505
2020,12,16,-.6622681,-.24556448,-.47423905,-.21986037
2020,12,17,-.66471106,-.25763208,-.47727448,-.22537135
2020,12,18,-.67112643,-.26727793,-.47820041,-.22647721
2020,12,19,-.67685854,-.283234,-.47847643,-.22620845
2020,12,20,-.6638391,-.29457244,-.47776932,-.22379486
2020,12,21,-.6527487,-.26597974,-.47604144,-.21892889
2020,12,22,-.6437102,-.26074821,-.47544721,-.21714891
2020,12,23,-.63586891,-.25611487,-.4711405,-.21139763
2020,12,24,-.63679683,-.24920171,-.46873134,-.2065618
2020,12,25,-.65929013,-.28131998,-.4760794,-.22173291
2020,12,26,-.65022349,-.27962446,-.48055592,-.2247581
2020,12,27,-.65759182,-.26071146,-.48173347,-.21785352
2020,12,28,-.65324193,-.23377843,-.48059291,-.21446651
2020,12,29,-.65389717,-.2335365,-.48164025,-.22092566
2020,12,30,-.6466434,-.22658257,-.48118538,-.22082287
2020,12,31,-.63756227,-.21192808,-.48006946,-.21932212
2021,1,1,-.65513843,-.24602585,-.52493131,-.31466526
2021,1,2,-.63653266,-.2452247,-.51491594,-.31024909
2021,1,3,-.62575835,-.23870848,-.5128957,-.31590828
2021,1,4,-.62380004,-.23114616,-.51399785,-.32237262
2021,1,5,-.62891936,-.23765163,-.51529413,-.32523805
2021,1,6,-.63570219,-.25053197,-.51514286,-.32377476
2021,1,7,-.63111329,-.23456201,-.51321846,-.31540775
2021,1,8,-.62116474,-.22065631,-.51359314,-.31191045
2021,1,9,-.61600816,-.19358177,-.51207751,-.29757631
2021,1,10,-.61619276,-.18097058,-.51168019,-.29252201
2021,1,11,-.62431622,-.18421561,-.5126276,-.28960136
2021,1,12,-.6291821,-.18591635,-.51540869,-.28720644
2021,1,13,-.63057864,-.18709992,-.51705247,-.28440422
2021,1,14,-.62921935,-.18599342,-.5190509,-.28628895
2021,1,15,-.62871116,-.18878609,-.52122682,-.28976381
2021,1,16,-.62663764,-.19671345,-.52335376,-.29319599
2021,1,17,-.62310225,-.19775841,-.52486706,-.29528871
2021,1,18,-.63423836,-.20858753,-.52672958,-.2960507
2021,1,19,-.62806797,-.20980881,-.5249157,-.29700491
2021,1,20,-.63241446,-.21428967,-.52396661,-.29606351
2021,1,21,-.63804847,-.21962014,-.52281821,-.29434088
2021,1,22,-.62966037,-.21320109,-.52371967,-.29615861
2021,1,23,-.63030899,-.20904781,-.52358967,-.29505745
2021,1,24,-.63323987,-.20912938,-.52367938,-.2943666
2021,1,25,-.63403869,-.22054681,-.52570838,-.29918283
2021,1,26,-.63968199,-.22928993,-.52668399,-.30392504
2021,1,27,-.64264953,-.23409717,-.52841491,-.30573121
2021,1,28,-.64265662,-.23415481,-.52809793,-.30700299
2021,1,29,-.64059204,-.23369625,-.52766961,-.30726495
2021,1,30,-.6350947,-.22193214,-.5239563,-.30144596
2021,1,31,-.63481432,-.22581547,-.52293915,-.30144268
2021,2,1,-.63610047,-.23495911,-.52514505,-.30638027
2021,2,2,-.6343289,-.24251844,-.52542657,-.30930611
2021,2,3,-.62663668,-.23854592,-.52354604,-.30830863
2021,2,4,-.62483829,-.23867722,-.52290654,-.30943903
2021,2,5,-.62608016,-.24656048,-.5225305,-.31164962
2021,2,6,-.62822604,-.26122537,-.52558988,-.31874818
2021,2,7,-.63187587,-.26334161,-.5261175,-.32036471
2021,2,8,-.63014472,-.25572467,-.52326208,-.31498125
2021,2,9,-.63117379,-.24939579,-.52180868,-.31209531
2021,2,10,-.63817233,-.24475306,-.52496159,-.31832373
2021,2,11,-.63825625,-.24807934,-.52585799,-.32169911
2021,2,12,-.63220757,-.23542105,-.52571851,-.32049689
2021,2,13,-.62900251,-.25066251,-.52686447,-.32327151
2021,2,14,-.62561536,-.27030966,-.52775216,-.32221138
2021,2,15,-.63322103,-.30987829,-.52499843,-.32367203
2021,2,16,-.6364004,-.31087816,-.53589624,-.33808118
2021,2,17,-.64020002,-.33239007,-.53788978,-.34328452
2021,2,18,-.64821023,-.36021546,-.5425145,-.35319036
2021,2,19,-.64398366,-.37640151,-.54467797,-.36109459
2021,2,20,-.63879824,-.36589226,-.54169798,-.35686603
2021,2,21,-.63103336,-.35014662,-.53887689,-.35805881
2021,2,22,-.62323534,-.35328948,-.53709173,-.35864949
2021,2,23,-.61504668,-.32358843,-.52669793,-.3404077
2021,2,24,-.60457361,-.3021757,-.51921153,-.32707372
2021,2,25,-.59791327,-.27205253,-.5117057,-.31047204
2021,2,26,-.59050947,-.26114431,-.50798267,-.30465788
2021,2,27,-.58825976,-.27687365,-.50741047,-.30721086
2021,2,28,-.58755547,-.29627258,-.50667429,-.30782238
2021,3,1,-.58567768,-.30246726,-.50630212,-.30749106
2021,3,2,-.58558518,-.31075293,-.50623393,-.30747375
2021,3,3,-.58478838,-.3115361,-.50591803,-.30837482
2021,3,4,-.58640385,-.31438968,-.50552779,-.30880046
2021,3,5,-.58632296,-.31416756,-.50524044,-.30910975
2021,3,6,-.58602118,-.2989724,-.50491965,-.30833757
2021,3,7,-.58186287,-.28205273,-.50441176,-.30897224
2021,3,8,-.58030045,-.26788318,-.50371021,-.30844015
2021,3,9,-.5796932,-.26327884,-.50329357,-.3086645
2021,3,10,-.57916653,-.25708708,-.50301152,-.30950767
2021,3,11,-.57746398,-.25656542,-.50306332,-.31087005
2021,3,12,-.57433319,-.25318065,-.50335079,-.31243348
